text,profanity_class
пидорасы пидорасы,1
хуесосы,1
хуесосы,1
хуесосы,1
шикарные преподаватели шикарные пары иногда с них отпускали за посещением не следили кому надо тот и ходит можно скзать одни лекции ты можешь сидеть и ничего не делать но информации интересная и важная приглашают успешных людей где они рассказывают о себе и то чему они научились очень понравился,1
самое то для тех кто хочет прокачаться в публичных выступлениях будут доклады хочет делать по минимуму и получать максимум слушаешь лекции ходишь на практики получаешь за них баллы делаешь два доклада  у тебя зачет любит работать на парах главное создать видимость того что ты слушаешь препода и коспектируешь его лекцию,1
преподаватель очень добрая девушка любит свой предмет и доходчиво обьясняет всю тему лекций данный электив поможет студентам стать более раскрепощенными в общении и побороть страх сцены на практике придется выступать перед другими ребятами смотря прямо на них поэтому если вы не готовы рассказывать свои истории из жизни смотря незнакомым людям в глаза этот электив точно не для вас без практики у вас ничего не получится также на каждые следующие практические пары даются на дом очень интересные темы для выступления которые не дадут вам заскучать если все таки вы приняли решение записаться именно на риторику то мой вам совет не откладывайте дз на потом думая что вы за один вечер все сделаете да возможно педагог вас пожалеет и поставит нормальное количество баллов за вашу работу но это точно не стоит того чтобы стоять в центре внимания и импровизировать удачи вам в ваших начинаниях,1
щас будет вообще много букв  преподша немного душит если пропустил отработать не получится  лекции максимально скучные но по окончании лекций будет тест так что заранее фоткайте все слайды презентаций это рил важно насколько я знаю некоторые переписывали тест раза по  если у тебя тест на  переписываешь студенты которые не сдадут тест не атестовываются по этому элективу ты так можешь хоть  раз переписывать  перед каждой парой в тимс скидывют тему например наркозависимость алкоголизм суицид и все такое и различные аспекты этой темы нужно найти инфу в интернете и  пары вы тупо разбираете что нашли  в модеусе этот электив стоит в разделе психология нихера подобного сама преподша на первой же паре сказала что это больше социология по сути так и есть  разбираются как я уже сказала алкоголизм наркомания суицидальные наклонности преступность и все в этом роде в основном разбираем сухие факты статистику ищем причины связи и все такое  самый сок электива в конце семака все студенты должны сделать групповой проект по любой девиации которую не проходили на паре проект страниц на  со всеми аспектами инфы надо искать дохерапрезентацию без проекта тебе электив не закрыть  однако интересно было послушать про разные теории возникновения разных девиаций причинно следственные связи и все такое,1
электив полезен для тех кто сталкиваетсяработает с латинским языком по своей основной специальности преподаватель грамотный специалист видно что горит своим делом с первого занятия вы уже будете учиться читать латинские тексты а затем учить много много грамматики и лексики наверное если вы никогда не учили португальскийиспанскийитальянскийфранцузский языки вам будет сложно нужно будет учить много нового мне было полегче чем остальным так как данную дисциплину я осваивала год в медицинском университете занятия шли  недель из них  недель по  пары и последнее занятие на  неделе одна пара где вы защищаете доклады с презентациями по культуре древнего рима почти все занятия проходили в едином формате разбор домашнего задания написание контрольной работы по словарным словам фразеологизмам и пройденной теории разбор новой теории и практика по ней занимаетесь вы по учебнику его нужно будет взять в библиотеке по поводу домашнего задания объем очень большой у меня уходило по  часа на подготовку письменной части нужно было разбирать в каждом предложении слова с определением их рода падежа времени и тп в зависимости от части речи нужно было также учить крылатые выражения и теорию без этого не написать контрольную работу,1
преподавателю как то все равно на этот электив она просто давала нам задания в виде презентаций каждую пару слушать презентации  пары подряд невыносимо благо это было только во второй половине семестра до этого были просто какие то активности не особо интересные но из них можно было что то полезное взять,1
в первую очередь скажу о преподавателе шилина ксения олеговна это важно мне преподаватель очень симпатизировала видно как человек заинтересован и подкован в своей деятельностисфере а это дает дополнительную мотивацию ксения олеговна очень хорошо ровно распределяет нагрузку лекционную и практическую пары были всегда вечером но я на них вообще не уставала и особо не скучала в целом суть электива заключается в построении умения интерпретировать читать фильмы разброс фильмов разный от современных и коммерческих до более старых и камерных в принципе работа не сильно сложная сначала просматриваем фильмы дома обсуждаем уже на занятии затем уже нужно будет выполнять некоторые работы в виде рецензий считаю что на этот электив важно идти если знаешь чем тебе этот опыт будет полезен в дальнейшем ну и  важен интерес к данной сфере если увлекаешься или только начал искусством кинематографом то этот путь однозначно верный,1
вели электив два преподавателя один из них относился более легко и лояльно к прохождению вами курса второй более строго но в начале было сказано одним из преподавателей что зачет будет у всех а посещение на вашей совести со вторым преподавателем вел лекции также можно было договориться при каких то ситуациях но только если обращаешься к нему заранее семинарские занятия проходили интересно когда приглашали других преподавателей из других институтов но не всегда на лекциях чаще всего давалась достаточно полезная информация  дополнительно подача инфы разбовлялась тренингами но для меня все таки большинство информации было уже знакомой поэтому не особо интересно было посещать этот электив мало информации применяемой практически,1
очень интересный электив для тех кто интересуется искусством преподаватель очень строгая но структура электива максимально систематизированная и четкая есть список определенных работ которые вы должны будете сдать в течение курса без них вы не выйдете на зачет или экзамен у нас было  презентации  их защита информация очень интересная и новая особенно для тех кто начинает постигать сферу искусства были затронуты разные виды искусства их основные термины как это воспринимать зачем вообще это нужно психология искусства полностью ознакомились с книгой выготского за весь курс но постепенно и безболезненно я выходила на экзамен если ты весь курс воспринимал информацию эффективно и самое главное тебе было это интересно тогда сдать можно легко если нет пересдача,1
электив на котором придется очень много работать особенно писать лекции по  листов  их проверяют и за них ставят баллы также есть творческие задания написать текст нарисовать  тут сложно описать что именно без контекста в общем каждое слово нужно изобразить в отдельной рамке много анализа стихотворений,1
электив не для тех кто хочет просто приходить и отсиживаться не получая домашек каждую неделю в самом начале пары небольшие самостоятельные в виде ответа на вопрос по теме прошлой пары в том числе для отметки о присутствии и балла поэтому опаздывать не стоит к каждой практике будет какое то дз просмотр фильма и написание рецензии по нему командная работасоздание презентации и тп если она задаст просмотр фильма то отправить рецензию по нему надо до  того же или следующего дня а не к следующей паре домашки оценивает по пятибалльной шкале но за них в  случаев ставит  или  балла за что снизила не говорит надо уточнять лекции информативные параллельно показывает презентацию в целом если посещать все пары и делать дз на автомат спокойно можно закрыться в общем электив то в целом интересный и не настолько сложный но субъективно больше смущает отношение препода к нему как будто это основной предмет а не электив где зачетнезачет,1
по началу было интересно выполнять лабораторные но как только ты не сдела одну лабораторную начинается полная каша из за чего можно не ходить на последующие пары так же чтобы получить хотя бы зачет нужно было написать два экзамена которые хоть и легкие но вставать надо было на них обязательно,1
хороший электив для тех кто не попал на моок и ищет ему альтернативу в расписании только лекции на них приходят различные спикеры реальные бизнесмены и тп однажды даже разыграли к,1
электив очень интересный кончено он узконаправленный если вам интересно происхождение праздников их влияние на жизнь просмотреть обычаи в других культурах и сравнить их электив для вас преподавательница самая лучшая очень интересная подача нужно делать презентации в конце выполнить оригинальное задание,1
я разочарован этим элективом участие в нем оказалось трудным так как преподаватель ставит баллы только за устную работу он распределяет в беседе вк доклады и прочие задания конкретным людям поэтому если ты остался без задания то баллы сможешь получить только путем дополнения ответа причем доклад придется учить наизусть так как нельзя выходить с листочкомтелефоном если говорить про лекции то они скучные ходить на них стоит только ради баллов я считаю что мне как студенту имикна совершенно не нужна юриспруденция конечно отчасти это моя ошибка что я выбрал этот электив но откуда я мог предвидеть что будет именно такое обучение я не рекомендую этот электив другим студентам тюмгу по крайней мере студентам имикна если вы хотите узнать что то новое и интересное и получать за это хорошие баллы обратите внимание на другие элективы,1
электив будет очень интересным если вы читаете фанфики иили пишете их задания несложные а баллы за них идут сверху к баллам за посещение и работу на паре так что можно легко закрыться если работать на паре также можно будет сделать доклад о своем любимом фандоме,1
электив чтобы просто послушать что то любопытное для себя информация больше научпопформата чем фундаментального поэтому студентам биологических направлений может быть менее полезна но задания могут оказаться для них интересными,1
несложный модуль задания направлены на итоговый проект родословная если хочешь узнать свою историю то тебе сюда научишься обращаться в архивы и собирать данные из них очень запомнились пары где читали старые тексты вам понравится уверяю это было очень смешно закрыться довольно просто посещай пары у нас они были онлайн иногда издавай звуки что ты здесь на последней паре покажи свою родословную которую по кусочкам собирал весь семестр и будет тебе зачет,1
язык хорош и с этим преподавателем кажется очень простым откровенное безделие ему не нравится но он понимает что кому то тупо лень все делать и неинтересно и говорит мол не приходите тогда ничего не будет в плане негативной оценки  поставил всем хорошие оценки ну мы на них и старались сам по себе очень веселый жизнерадостный с ним можно иногда поугарать над чем нибудь показывает песни и видео на языке звал носителей языка в общем практика тоже есть неплохая  рекомендую сто процентов,1
электив на самом деле интересный подан материал с юмором что позволяет хорошо концентрироваться на изучении дисциплины хочется прям подольше на паре быть преподаватель умеет качественно подавать информацию но снизила балл за метод поощрения тех кто задает вопросы выступающему с материалом на семинаре мне к примеру тяжело стоять у доски рассказывать что то сразу из головы все вылетает а однокурсники начинают заваливать вопросами не которые у них действительно возникли после прочитанного мною материала а которые они подготовили дома нашли в интернете еще как то то есть вопросов очень много к такому просто надо быть готовым в остальном ничего плохого сказать не могу дмитрий евгеньевич вы супер,1
записалась на электив в надежде получения полезной информации но к сожалению чем больше проходило пар тем больше росло мое нежелание ходить на них преподаватель дружелюбная хорошо контактирует со студентами но ей с трудом удается завлечь всех в учебный процесс ввиду неинтересной подачи материала скучных практических заданий время тянется бесконечно вы больше сидите в тишине выполняя примитивные задания такое чувство что преподаватель сам не особо заинтересован в элективе,1
наверное это самый лучший электив который мне удалось пройти наталья гафиятовна просто потрясающий преподаватель если думаете стоит ли идти то определенно стоит вы не пожалеете  за год изучения учитывая курс для начинающих вы выучите самую базу и сможете строить свои мысли и предложения на достаточном уровне чтоб вас поняли к сожалению из за работы не всегда получалось приходить на все пары но ни одна из них не была скучной тяжелой или неинтересной в общем всем категорически советую,1
записывалась на электив в надежде получить практические знания а также закрепить теорию организатором была высшая школа экономики что лишь повышало интерес к курсу сначала все нравилось лекторы подавали материал интересно электив был полностью в онлайн режиме видео были не такими скучными так как были смонтированы сопровождались примерами в конце предлагались источники для самостоятельного чтения тесты были непростые но все ответы на них были в лекциях было интересно изучать недостатком было то что после выполнения теста нельзя было узнать верный ответ на задание хотя тут причина ясна   потом материал стал казаться монотонным тесты стали сложнее часто были какие то ошибки и опечатки в самих заданиях например при написании фамилий дизайнеров через е или ий часто баллы не засчитывались верное написание часто отличалось от наиболее распространенного  после прохождения курса ждал онлайн прокторинг сдача экзамена с включенной камерой демонстрацией экрана и таймером на мой взгляд организовывать экзамен для зачетной дисциплины даже несправедливо предупредить об этом в программе курса во всяком случае стоило   в целом если смотреть лекции делать задания справиться с прокторингом будет несложно но нервы потом придется долго восстанавливать,1
на данном элективе мы проходили финансовую грамотность и одна из лекций была с приглашенными гостями из финансового сектора в начале семестра преподаватель дает документ где написаны  заданий которые нужно выполнить до конца семестра нужно заполнять таблицы искатть информацию на сайте мосбиржи проходить тесты в некоторые из пар мы решали задачи по процентам и за них можно получить плюсы которые дают вам возможность отказаться от задания в начале семестра задания не получится сдать тк решение заданий преподаватель будет постепенно показывать на лекциях за лекционные занятия ставят по  баллов за практику  каждое задание стоит  баллов советую по мере прохождения задания сразу его выполнять чтобы не копить все к последним занятиям минус в том что к последним парам в семестре все начинают выполнять эти задания и чтобы вам защититься нужно отстоять нехилую очередь да кстати нужно именно защищать задания то есть показать ей отвечать на вопросы и если будут ошибки задание не примут и снова нужно стоять в очереди на лекциях и практиках можно заниматься своими делами преподаватель приятная спокойная женщина легкий электив но выполнение заданий много времени занимает,1
я хотел узнать какие аферы были в мировой истории как действовали мошенники каждую деталь из действия или хотя бы услышать увлекательные истории о них но по итогу мы делаем какие то проекты которые нам не нужны я люблю создавать проекты но когда людям проект не нужен то какой в нем смысл крайне разочарован этим элективом,1
электив подходит тем у кого мало знаний в сфере бизнеса а для тех у кого хорошая теоретическаяпрактическая база  большая часть занятий может показаться скучным   на пары приходят действующие предприниматели некоторые из них  действительно невероятно интересные и прекрасные личности которые щедро делятся своими знаниями  в течении семестра вы будете вместе с командой создавать свой бизнес проект который сами придумаете создавать этот проект бывает интересно но его слишком сильно растягивают  еще из плюсов  очень красивая и обустроенная аудитория   рекомендую этот электив тем кто хочет изучать предпринимательство с нуля и видит в этом цель,1
преподователь отлично рассказывает материал и если есть вопросы всегда рад на них ответить главное слушать   в общем и целом мне очень понравился данный электив считаю его максимально полезным для себя советую его абсолютно каждому кто развивается или планирует развиваться в этой сфере   лектор шабалин андрей михайлович  практик шабалин андрей михайлович,1
